area_id,source,calendar_quarter,sex,age_group,population,asfr
MWI_4_1,Census 2018,CY2008Q2,female,00-04,16155.885821168984,
MWI_4_1,Census 2018,CY2008Q2,female,05-09,14445.68972796804,
MWI_4_1,Census 2018,CY2008Q2,female,10-14,12442.49314841828,
MWI_4_1,Census 2018,CY2008Q2,female,15-19,11256.444365995902,0.15666925755098393
MWI_4_1,Census 2018,CY2008Q2,female,20-24,7753.0536033182025,0.2741474381412081
MWI_4_1,Census 2018,CY2008Q2,female,25-29,5942.4272195206995,0.24873215641879873
MWI_4_1,Census 2018,CY2008Q2,female,30-34,5399.44719147703,0.22034242949534041
MWI_4_1,Census 2018,CY2008Q2,female,35-39,4678.4498127542165,0.1683188914870811
MWI_4_1,Census 2018,CY2008Q2,female,40-44,3514.76195260583,0.0830919832618836
MWI_4_1,Census 2018,CY2008Q2,female,45-49,2685.274469895612,0.03395110329773774
MWI_4_1,Census 2018,CY2008Q2,female,50-54,1973.1838662610244,
MWI_4_1,Census 2018,CY2008Q2,female,55-59,1497.1350625645346,
MWI_4_1,Census 2018,CY2008Q2,female,60-64,1482.1704491131122,
MWI_4_1,Census 2018,CY2008Q2,female,65-69,1276.117945350401,
MWI_4_1,Census 2018,CY2008Q2,female,70-74,1040.0770066208468,
MWI_4_1,Census 2018,CY2008Q2,female,75-79,641.0301937241122,
MWI_4_1,Census 2018,CY2008Q2,female,80+,802.0852823887416,
MWI_4_1,Census 2018,CY2008Q2,male,00-04,15868.973798362413,
MWI_4_1,Census 2018,CY2008Q2,male,05-09,13824.768452199873,
MWI_4_1,Census 2018,CY2008Q2,male,10-14,12194.991199282107,
MWI_4_1,Census 2018,CY2008Q2,male,15-19,10479.066767545419,
MWI_4_1,Census 2018,CY2008Q2,male,20-24,7460.016656670977,
MWI_4_1,Census 2018,CY2008Q2,male,25-29,5157.0228290013665,
MWI_4_1,Census 2018,CY2008Q2,male,30-34,4226.3525938167695,
MWI_4_1,Census 2018,CY2008Q2,male,35-39,3771.9842159501322,
MWI_4_1,Census 2018,CY2008Q2,male,40-44,3280.075127697514,
MWI_4_1,Census 2018,CY2008Q2,male,45-49,2535.963961405588,
MWI_4_1,Census 2018,CY2008Q2,male,50-54,1905.9629327146606,
MWI_4_1,Census 2018,CY2008Q2,male,55-59,1267.0135931721206,
MWI_4_1,Census 2018,CY2008Q2,male,60-64,1158.001892031051,
MWI_4_1,Census 2018,CY2008Q2,male,65-69,1006.0301996871372,
MWI_4_1,Census 2018,CY2008Q2,male,70-74,1005.9075509571232,
MWI_4_1,Census 2018,CY2008Q2,male,75-79,559.972109224894,
MWI_4_1,Census 2018,CY2008Q2,male,80+,695.9875301688463,
MWI_4_1,Census 2018,CY2009Q2,female,00-04,16443.117866625907,
MWI_4_1,Census 2018,CY2009Q2,female,05-09,14528.494191840939,
MWI_4_1,Census 2018,CY2009Q2,female,10-14,12967.373498264185,
MWI_4_1,Census 2018,CY2009Q2,female,15-19,11613.517059637365,0.1500058102375107
MWI_4_1,Census 2018,CY2009Q2,female,20-24,8254.78896224642,0.26903203437410905
MWI_4_1,Census 2018,CY2009Q2,female,25-29,5923.126661722128,0.2440877910331208
MWI_4_1,Census 2018,CY2009Q2,female,30-34,5462.154530528898,0.21947584552961386
MWI_4_1,Census 2018,CY2009Q2,female,35-39,4873.381940931104,0.1664756841754424
MWI_4_1,Census 2018,CY2009Q2,female,40-44,3695.371858276566,0.08033002856152024
MWI_4_1,Census 2018,CY2009Q2,female,45-49,2777.6148237423663,0.032762754759665016
MWI_4_1,Census 2018,CY2009Q2,female,50-54,2077.7014400656208,
MWI_4_1,Census 2018,CY2009Q2,female,55-59,1528.9382114939594,
MWI_4_1,Census 2018,CY2009Q2,female,60-64,1457.7742141875242,
MWI_4_1,Census 2018,CY2009Q2,female,65-69,1323.7275207725422,
MWI_4_1,Census 2018,CY2009Q2,female,70-74,1058.5851727201762,
MWI_4_1,Census 2018,CY2009Q2,female,75-79,707.9522668866075,
MWI_4_1,Census 2018,CY2009Q2,female,80+,752.0898242527351,
MWI_4_1,Census 2018,CY2009Q2,male,00-04,16342.056822201674,
MWI_4_1,Census 2018,CY2009Q2,male,05-09,13821.196322586753,
MWI_4_1,Census 2018,CY2009Q2,male,10-14,12691.81730202783,
MWI_4_1,Census 2018,CY2009Q2,male,15-19,10907.830391888252,
MWI_4_1,Census 2018,CY2009Q2,male,20-24,7858.1740419283105,
MWI_4_1,Census 2018,CY2009Q2,male,25-29,5236.168734205488,
MWI_4_1,Census 2018,CY2009Q2,male,30-34,4272.977387939397,
MWI_4_1,Census 2018,CY2009Q2,male,35-39,3894.979770295288,
MWI_4_1,Census 2018,CY2009Q2,male,40-44,3451.6263075713555,
MWI_4_1,Census 2018,CY2009Q2,male,45-49,2676.0507396356606,
MWI_4_1,Census 2018,CY2009Q2,male,50-54,2006.6660941347504,
MWI_4_1,Census 2018,CY2009Q2,male,55-59,1330.1411029267913,
MWI_4_1,Census 2018,CY2009Q2,male,60-64,1135.810183380681,
MWI_4_1,Census 2018,CY2009Q2,male,65-69,1017.2454929170273,
MWI_4_1,Census 2018,CY2009Q2,male,70-74,991.1526041155497,
MWI_4_1,Census 2018,CY2009Q2,male,75-79,660.5701378165531,
MWI_4_1,Census 2018,CY2009Q2,male,80+,680.8120685934726,
MWI_4_1,Census 2018,CY2010Q2,female,00-04,16722.579773118727,
MWI_4_1,Census 2018,CY2010Q2,female,05-09,14547.298305857441,
MWI_4_1,Census 2018,CY2010Q2,female,10-14,13579.750856748371,
MWI_4_1,Census 2018,CY2010Q2,female,15-19,11826.9517497929,0.1488708091734514
MWI_4_1,Census 2018,CY2010Q2,female,20-24,8874.415640170222,0.26636830543768075
MWI_4_1,Census 2018,CY2010Q2,female,25-29,5944.494772358031,0.23876655343054548
MWI_4_1,Census 2018,CY2010Q2,female,30-34,5506.386113644831,0.21001940000356828
MWI_4_1,Census 2018,CY2010Q2,female,35-39,5046.088237976891,0.1540240846004302
MWI_4_1,Census 2018,CY2010Q2,female,40-44,3890.3347158510137,0.07277911595942588
MWI_4_1,Census 2018,CY2010Q2,female,45-49,2867.364148448758,0.029751030403547887
MWI_4_1,Census 2018,CY2010Q2,female,50-54,2188.023718533306,
MWI_4_1,Census 2018,CY2010Q2,female,55-59,1584.5764400724659,
MWI_4_1,Census 2018,CY2010Q2,female,60-64,1424.1924861302718,
MWI_4_1,Census 2018,CY2010Q2,female,65-69,1375.6601504898147,
MWI_4_1,Census 2018,CY2010Q2,female,70-74,1069.7496375342519,
MWI_4_1,Census 2018,CY2010Q2,female,75-79,769.1033300498524,
MWI_4_1,Census 2018,CY2010Q2,female,80+,730.2797836103098,
MWI_4_1,Census 2018,CY2010Q2,male,00-04,16750.10483744288,
MWI_4_1,Census 2018,CY2010Q2,male,05-09,13810.832505146922,
MWI_4_1,Census 2018,CY2010Q2,male,10-14,13198.485249988847,
MWI_4_1,Census 2018,CY2010Q2,male,15-19,11271.117739106396,
MWI_4_1,Census 2018,CY2010Q2,male,20-24,8297.740133854497,
MWI_4_1,Census 2018,CY2010Q2,male,25-29,5372.094622269914,
MWI_4_1,Census 2018,CY2010Q2,male,30-34,4323.458548997827,
MWI_4_1,Census 2018,CY2010Q2,male,35-39,4018.30231904478,
MWI_4_1,Census 2018,CY2010Q2,male,40-44,3611.67567631697,
MWI_4_1,Census 2018,CY2010Q2,male,45-49,2829.9067813677557,
MWI_4_1,Census 2018,CY2010Q2,male,50-54,2096.9181343217792,
MWI_4_1,Census 2018,CY2010Q2,male,55-59,1420.6589812645645,
MWI_4_1,Census 2018,CY2010Q2,male,60-64,1105.5310597569203,
MWI_4_1,Census 2018,CY2010Q2,male,65-69,1047.8087260614257,
MWI_4_1,Census 2018,CY2010Q2,male,70-74,958.7517661082449,
MWI_4_1,Census 2018,CY2010Q2,male,75-79,746.4777008687967,
MWI_4_1,Census 2018,CY2010Q2,male,80+,686.5749310687423,
MWI_4_1,Census 2018,CY2011Q2,female,00-04,17009.999947574885,
MWI_4_1,Census 2018,CY2011Q2,female,05-09,14527.968140334291,
MWI_4_1,Census 2018,CY2011Q2,female,10-14,14249.354466629908,
MWI_4_1,Census 2018,CY2011Q2,female,15-19,11954.27101770782,0.14773040481497063
MWI_4_1,Census 2018,CY2011Q2,female,20-24,9541.11038902898,0.2619817810058896
MWI_4_1,Census 2018,CY2011Q2,female,25-29,6020.710383087329,0.23246148631244248
MWI_4_1,Census 2018,CY2011Q2,female,30-34,5550.2730802812785,0.20163059867781213
MWI_4_1,Census 2018,CY2011Q2,female,35-39,5197.224108757312,0.1446888839861953
MWI_4_1,Census 2018,CY2011Q2,female,40-44,4091.217535700142,0.06794747600125715
MWI_4_1,Census 2018,CY2011Q2,female,45-49,2956.5461345930107,0.02782865263050282
MWI_4_1,Census 2018,CY2011Q2,female,50-54,2304.1221852175345,
MWI_4_1,Census 2018,CY2011Q2,female,55-59,1658.9740831518245,
MWI_4_1,Census 2018,CY2011Q2,female,60-64,1389.5084680456432,
MWI_4_1,Census 2018,CY2011Q2,female,65-69,1427.7940374037034,
MWI_4_1,Census 2018,CY2011Q2,female,70-74,1077.584450341598,
MWI_4_1,Census 2018,CY2011Q2,female,75-79,824.2528782414543,
MWI_4_1,Census 2018,CY2011Q2,female,80+,731.4555367026877,
MWI_4_1,Census 2018,CY2011Q2,male,00-04,17124.419490350527,
MWI_4_1,Census 2018,CY2011Q2,male,05-09,13793.692064060278,
MWI_4_1,Census 2018,CY2011Q2,male,10-14,13712.752854047878,
MWI_4_1,Census 2018,CY2011Q2,male,15-19,11586.742020964284,
MWI_4_1,Census 2018,CY2011Q2,male,20-24,8753.571953840734,
MWI_4_1,Census 2018,CY2011Q2,male,25-29,5552.383636824914,
MWI_4_1,Census 2018,CY2011Q2,male,30-34,4398.321201945055,
MWI_4_1,Census 2018,CY2011Q2,male,35-39,4142.801748853069,
MWI_4_1,Census 2018,CY2011Q2,male,40-44,3762.5592381777437,
MWI_4_1,Census 2018,CY2011Q2,male,45-49,2990.9242004343646,
MWI_4_1,Census 2018,CY2011Q2,male,50-54,2184.291317127293,
MWI_4_1,Census 2018,CY2011Q2,male,55-59,1521.987745837107,
MWI_4_1,Census 2018,CY2011Q2,male,60-64,1086.6171600597002,
MWI_4_1,Census 2018,CY2011Q2,male,65-69,1086.448388208325,
MWI_4_1,Census 2018,CY2011Q2,male,70-74,923.6198462470375,
MWI_4_1,Census 2018,CY2011Q2,male,75-79,808.816865220933,
MWI_4_1,Census 2018,CY2011Q2,male,80+,708.2343903346652,
MWI_4_1,Census 2018,CY2012Q2,female,00-04,17305.250914415523,
MWI_4_1,Census 2018,CY2012Q2,female,05-09,14491.264529922177,
MWI_4_1,Census 2018,CY2012Q2,female,10-14,14922.709230103974,
MWI_4_1,Census 2018,CY2012Q2,female,15-19,12093.53368232834,0.1456808719619716
MWI_4_1,Census 2018,CY2012Q2,female,20-24,10149.10383400444,0.25864920323469315
MWI_4_1,Census 2018,CY2012Q2,female,25-29,6174.084918613914,0.22663694042358729
MWI_4_1,Census 2018,CY2012Q2,female,30-34,5621.0517180497245,0.1930781758865888
MWI_4_1,Census 2018,CY2012Q2,female,35-39,5322.691858284144,0.13736147152969674
MWI_4_1,Census 2018,CY2012Q2,female,40-44,4277.956094624167,0.064542237969513
MWI_4_1,Census 2018,CY2012Q2,female,45-49,3063.8857023401324,0.026376425593306718
MWI_4_1,Census 2018,CY2012Q2,female,50-54,2416.571209443416,
MWI_4_1,Census 2018,CY2012Q2,female,55-59,1745.4508688744456,
MWI_4_1,Census 2018,CY2012Q2,female,60-64,1370.572217291875,
MWI_4_1,Census 2018,CY2012Q2,female,65-69,1471.530148621311,
MWI_4_1,Census 2018,CY2012Q2,female,70-74,1086.9487954309157,
MWI_4_1,Census 2018,CY2012Q2,female,75-79,866.5921680258879,
MWI_4_1,Census 2018,CY2012Q2,female,80+,753.9980976838165,
MWI_4_1,Census 2018,CY2012Q2,male,00-04,17485.959639285466,
MWI_4_1,Census 2018,CY2012Q2,male,05-09,13754.402179238581,
MWI_4_1,Census 2018,CY2012Q2,male,10-14,14238.650769691707,
MWI_4_1,Census 2018,CY2012Q2,male,15-19,11893.29312779054,
MWI_4_1,Census 2018,CY2012Q2,male,20-24,9174.002003552827,
MWI_4_1,Census 2018,CY2012Q2,male,25-29,5776.664945549427,
MWI_4_1,Census 2018,CY2012Q2,male,30-34,4510.990682036232,
MWI_4_1,Census 2018,CY2012Q2,male,35-39,4275.002885648807,
MWI_4_1,Census 2018,CY2012Q2,male,40-44,3908.493663939931,
MWI_4_1,Census 2018,CY2012Q2,male,45-49,3146.7434796835655,
MWI_4_1,Census 2018,CY2012Q2,male,50-54,2276.2112092251737,
MWI_4_1,Census 2018,CY2012Q2,male,55-59,1626.1061625631319,
MWI_4_1,Census 2018,CY2012Q2,male,60-64,1084.6098461292488,
MWI_4_1,Census 2018,CY2012Q2,male,65-69,1122.2732426317575,
MWI_4_1,Census 2018,CY2012Q2,male,70-74,897.1500378648598,
MWI_4_1,Census 2018,CY2012Q2,male,75-79,850.788118758375,
MWI_4_1,Census 2018,CY2012Q2,male,80+,740.4667838206556,
MWI_4_1,Census 2018,CY2013Q2,female,00-04,17613.325764178004,
MWI_4_1,Census 2018,CY2013Q2,female,05-09,14438.219043615667,
MWI_4_1,Census 2018,CY2013Q2,female,10-14,15565.299182505723,
MWI_4_1,Census 2018,CY2013Q2,female,15-19,12313.699435346678,0.13451530256816382
MWI_4_1,Census 2018,CY2013Q2,female,20-24,10635.788326795227,0.23779989183366596
MWI_4_1,Census 2018,CY2013Q2,female,25-29,6403.831641409554,0.20657907171771547
MWI_4_1,Census 2018,CY2013Q2,female,30-34,5735.310364275011,0.17570318155538123
MWI_4_1,Census 2018,CY2013Q2,female,35-39,5434.003724649603,0.1253640524997261
MWI_4_1,Census 2018,CY2013Q2,female,40-44,4431.90465034487,0.058233131133804225
MWI_4_1,Census 2018,CY2013Q2,female,45-49,3185.3975989122714,0.02375882920371478
MWI_4_1,Census 2018,CY2013Q2,female,50-54,2536.1883451494477,
MWI_4_1,Census 2018,CY2013Q2,female,55-59,1833.8255665365953,
MWI_4_1,Census 2018,CY2013Q2,female,60-64,1374.5835460841652,
MWI_4_1,Census 2018,CY2013Q2,female,65-69,1501.6562268884538,
MWI_4_1,Census 2018,CY2013Q2,female,70-74,1101.4297610849103,
MWI_4_1,Census 2018,CY2013Q2,female,75-79,905.1468721769986,
MWI_4_1,Census 2018,CY2013Q2,female,80+,789.6340069225463,
MWI_4_1,Census 2018,CY2013Q2,male,00-04,17849.615166831158,
MWI_4_1,Census 2018,CY2013Q2,male,05-09,13675.785515177531,
MWI_4_1,Census 2018,CY2013Q2,male,10-14,14771.899784874167,
MWI_4_1,Census 2018,CY2013Q2,male,15-19,12213.724333049966,
MWI_4_1,Census 2018,CY2013Q2,male,20-24,9537.04671090588,
MWI_4_1,Census 2018,CY2013Q2,male,25-29,6031.615670699266,
MWI_4_1,Census 2018,CY2013Q2,male,30-34,4678.960756003163,
MWI_4_1,Census 2018,CY2013Q2,male,35-39,4419.722026764281,
MWI_4_1,Census 2018,CY2013Q2,male,40-44,4047.4208390426215,
